ResponseId,RespondantNumber,answer,reason
R_25Z2dsTp1bevOr0,No1,part time clinician part time clinical research,Research focus is elsewhere
R_26eu3MYnIfCv1kW,No2,We don't have ILC cell models.,Lack of ILC cell models
R_12JQE36pVouV3VO,No3,access,"Lack of facilities, resources, or expertise"
R_1FqBTekiNTDDkVK,No4,"Although the lab has worked and is working on estrogen signaling at genomic, epigenomic and single cell level, we have not extended those studies to ILC. We may get into that once our single cell multiome studies are complete",Research focus is elsewhere
R_2aFTq6NYFzxaRiR,No5,"Aside from Steffi's work, there are not readily available models until recently.",Lack of ILC cell models
R_3lKxDk8h5WBoFpD,No6,Because I am focusing on archival material,Research focus is elsewhere
R_3M3ZDKBteGyP9YL,No7,because I haven't conducted a study on it yet,"Lack of facilities, resources, or expertise"
R_3nC7bLmlg888NOz,No8,"Because my research focus is not on ILC, it is on IDC",Research focus is elsewhere
R_2v7GBhasigIeUIK,No9,because our radiotherapy studies have not looked into that question,Research focus is elsewhere
R_1l3mPeO6qpWvgvD,No10,because we don't do bench research,Research focus is elsewhere
R_qJbo9BFqDuAt4xr,No11,Cancer Registry has a limited data set,"Lack of facilities, resources, or expertise"
R_2vjBYqDcrz8f16B,No12,"Currently in my translational science role we do not include ILC cell models but we are looking to do so through external collaboration. We tend to look for signals of drug response in the ""standard"" breast cancer cell line models of HR+ disease, which are easy to work with and are well known entities. So there is a gap in understanding of how to work with ILC models. Preclinical teams work to inform clinical strategy, which at the moment does not distinguish ILC and IDC. Ultimately, clinical teams would consider ILC separately if there is a business case to do so. This is the key barrier to address and the case would need to be demonstrated through collaboration with external partners. Collaborations will include external sponsored preclinical workstreams and initial clinical studies focussed on ILC. If these demonstrate a clear signal, then the case is built for future studies to be powered and / or stratified for ILC.",Professional role does not involve cell model studies or basic research
R_2dTnzKPEJtB9sVI,No13,"currently, we are not working with cell models",Professional role does not involve cell model studies or basic research
R_1lcmL4yVCUsbs8x,No14,Developing country,"Lack of facilities, resources, or expertise"
R_2ZVSA30srmjMCnz,No15,did include seq from ILC cell lines previously,Research focus is elsewhere
R_2y1TtTQblYrpHwa,No16,did not differ in clinical research studies,Research focus is elsewhere
R_1C87573u7PD5Ut8,No17,Did not notice the importance to include,Research focus is elsewhere
R_p9Ki6TuedjwnyQF,No18,Different research area,Research focus is elsewhere
