,Doc,Topic,Doc_ID,new_labels
0,That it's not a death sentence,-1,0,Ambiguous
1,(nothing - she agreed to a double MX bc of lobular),9,1,ILC unique features
2,1st Diagnosis: How likely is it to return.,-1,2,Ambiguous
3,A mastectomy could have been avoided if the Breast check system cared about the 20%.,2,3,Surgery
4,advantage of mastectomy over breast conserving therapy,2,4,Surgery
5,aesthetic flat closure and efficacy of mastectomies for lobular treatment,2,5,Surgery
6,After care,5,6,Personalized treatment and mental care
7,All that is known,-1,7,Ambiguous
8,All the items I just entered NO for.,-1,8,Ambiguous
9,Alternative screening eg MRI,7,9,Cancer detection and screening
10,Amputation not necessaire,-1,10,Ambiguous
11,Anything about what to look for for recurrence. It was only mentioned in the initial Appt but only in the context of a definition not that it's any different to treat,0,11,Recurrence
12,Basically everything. I have had to find out everything by myself,-1,12,Ambiguous
13,Behavior of lobular cancer cells and how they are different than ducal cancer,9,13,ILC unique features
14,Benefits/AEs of BCS/RT vs MX; risks of RT after MX with left side BC,-1,14,Ambiguous
15,"better explanation of ILC vs IDC vs Mixed ILC/IDC, better statistics especially for recurrence more than 10 years later",11,15,ILC unique features
16,Bilateral occurrence,8,16,Metastasis
17,Breast density,12,17,Influence of breast density
18,breast density,12,18,Influence of breast density
19,Breast density impact on detection,12,19,Influence of breast density
20,Breast Surgeon,-1,20,Ambiguous
21,lobular cancer can metastasize to unique locations,9,21,ILC unique features
22,chance of recurrence,0,22,Recurrence
23,Chance of recurrence in other breast,12,23,Influence of breast density
24,Chance of reoccurrence,0,24,Recurrence
25,Chances of recurrence - where and when.,0,25,Recurrence
26,Characteristics of ILC cells and their sneaky nature,11,26,ILC unique features
27,Check with MRI in future instate of mammogram,12,27,Influence of breast density
28,"Chemo less effective, are all my nodes clear?",1,28,Chemotherapy
29,Choices,3,29,ILC unique features
30,Choices re: surgery. Mastectomy was only surgery option presented to me.,2,30,Surgery
31,Clincially and radiologically negative lymph nodes have a good chance of being positive on post surgical pathology,-1,31,Ambiguous
32,Consequences of Implant after Mastectomy,2,32,Surgery
33,Contralateral mastectomy,2,33,Surgery
34,Density of your breasts make it hard to see cancer,12,34,Influence of breast density
35,Difference between lobular and ductsal,9,35,ILC unique features
36,Differences between ductal and lobular,9,36,ILC unique features
